year,month,date,company,track,volume_desc,volume,round
2015,Aug,Aug 2015,幼儿邦,Early Childhood Edu.,200,200,Seed/Angel
2014,Jul,Jul 2014,学吧教育,K12,200,200,Seed/Angel
2014,Jun,Jun 2014,闻题鸟TiBird,K12,200,200,Seed/Angel
2015,Nov,Nov 2015,取暖,Holistic Edu.,200,200,Seed/Angel
2018,Mar,Mar 2018,园小豆,Edu. SaaS,200,200,Seed/Angel
2017,Aug,Aug 2017,天津培育空间教育,Early Childhood Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,HnR新升力,Early Childhood Edu.,200,200,Seed/Angel
2017,Jan,Jan 2017,见教传媒,Paid Knowledge,200,200,Seed/Angel
2018,Apr,Apr 2018,时代教育,Vocational Edu.,200,200,Seed/Angel
2016,Nov,Nov 2016,学加加,Holistic Edu.,200,200,Seed/Angel
2015,Aug,Aug 2015,职学帮,K12,200,200,Seed/Angel
2017,Jun,Jun 2017,学两招,Edu. Informationization,200,200,Seed/Angel
2018,Feb,Feb 2018,智慧喵,STEAM,200,200,Seed/Angel
2015,Oct,Oct 2015,搜学宝,Higher Edu.,200,200,Seed/Angel
2018,Jan,Jan 2018,教宜优,Edu. Informationization,200,200,Seed/Angel
2018,Apr,Apr 2018,EduCare,Study Abroad Services,200,200,Seed/Angel
2014,Jun,Jun 2014,英语说,Language Learning,200,200,Seed/Angel
2017,Feb,Feb 2017,强棒联合,Holistic Edu.,200,200,Seed/Angel
2015,Sep,Sep 2015,葱课CongAcademy,Higher Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,橙色星球,Paid Knowledge,200,200,Seed/Angel
2018,Jan,Jan 2018,34learning,Vocational Edu.,200,200,Pre-A
2015,Aug,Aug 2015,弦音科技EUMLab,Holistic Edu.,200,200,Seed/Angel
2015,Oct,Oct 2015,赛氪-环球竞赛网,Higher Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,一码学程,STEAM,200,200,Seed/Angel
2015,Aug,Aug 2015,提分宝,K12,200,200,Pre-A
2015,Apr,Apr 2015,骄阳星天纪,Early Childhood Edu.,200,200,Seed/Angel
2016,Dec,Dec 2016,慧司考,Vocational Edu.,200,200,Seed/Angel
2017,Oct,Oct 2017,爱培优,K12,200,200,Seed/Angel
2016,Aug,Aug 2016,米盒,Higher Edu.,200,200,Seed/Angel
2017,Mar,Mar 2017,东方标准X,Vocational Edu.,200,200,Undiscloused
2015,Aug,Aug 2015,有师网,K12,200,200,A
2018,Jun,Jun 2018,麦麦养成教育,Holistic Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,又又国学堂,Holistic Edu.,200,200,Seed/Angel
2015,Oct,Oct 2015,A+课堂,Higher Edu.,200,200,Seed/Angel
2018,Jan,Jan 2018,幼发拉底教育,Early Childhood Edu.,200,200,Pre-A
2017,Mar,Mar 2017,口袋家校,Edu. Informationization,200,200,Seed/Angel
2015,Aug,Aug 2015,于斯课堂,Holistic Edu.,200,200,Seed/Angel
2014,Mar,Mar 2014,壹枱智能钢琴,Holistic Edu.,200,200,Seed/Angel
2018,Jun,Jun 2018,丹你耳,Language Learning,200,200,Seed/Angel
2016,Sep,Sep 2016,奇喵背词,Language Learning,200,200,Seed/Angel
2015,Oct,Oct 2015,提分威学堂,Language Learning,200,200,Seed/Angel
2018,May,May 2018,金融先生,Vocational Edu.,200,200,Seed/Angel
2016,Oct,Oct 2016,奥本未来,Paid Knowledge,200,200,Seed/Angel
2017,Mar,Mar 2017,巧课力,Early Childhood Edu.,200,200,Seed/Angel
2014,Jul,Jul 2014,ChineseSkill,Language Learning,200,200,Seed/Angel
2018,Mar,Mar 2018,奥创熊,STEAM,200,200,Seed/Angel
2017,Apr,Apr 2017,维欧诺一,Study Abroad Services,200,200,Pre-A
2018,Apr,Apr 2018,芳汀思,STEAM,200,200,Seed/Angel
2018,Feb,Feb 2018,首掌教育,Edu. SaaS,200,200,Seed/Angel
2015,Sep,Sep 2015,米学网,K12,200,200,Seed/Angel
2014,Sep,Sep 2014,萝卜太辣,STEAM,200,200,Seed/Angel
2017,Jun,Jun 2017,找辅导,K12,200,200,Seed/Angel
2017,Apr,Apr 2017,留学府,Study Abroad Services,200,200,Seed/Angel
2018,May,May 2018,证凯教育,Vocational Edu.,200,200,Seed/Angel
2014,Mar,Mar 2014,泡面吧,Vocational Edu.,200,200,Seed/Angel
