year,month,date,company,track,volume_desc,volume,round
2016,Nov,Nov 2016,希嘉教育,Higher Edu.,2400,2400,Strategic Investment
2015,Aug,Aug 2015,皮影客,Holistic Edu.,0,680,Seed/Angel
2017,Jul,Jul 2017,皮影客,Holistic Edu.,1700,1700,A
2015,Jan,Jan 2015,嘿设汇 / 迅牛科技,Vocational Edu.,0,800,Pre-A
2017,Feb,Feb 2017,嘿设汇 / 迅牛科技,Vocational Edu.,550,550,A
2017,Aug,Aug 2017,嘿设汇 / 迅牛科技,Vocational Edu.,1000,1000,A
2015,Jun,Jun 2015,童游,Study Abroad Services,1274,1274,Seed/Angel
2016,Sep,Sep 2016,童游,Study Abroad Services,1000,1000,Pre-A
2016,Aug,Aug 2016,玩创Lab,STEAM,702,702,Seed/Angel
2018,Mar,Mar 2018,玩创Lab,STEAM,1500,1500,Pre-A
2017,Aug,Aug 2017,极客晨星,STEAM,200,200,Pre-A
2018,Jan,Jan 2018,极客晨星,STEAM,2000,2000,A
2016,Oct,Oct 2016,铂略咨询,Vocational Edu.,2200,2200,A
2015,Sep,Sep 2015,幼师口袋,Early Childhood Edu.,200,200,Seed/Angel
2017,Jun,Jun 2017,幼师口袋,Early Childhood Edu.,2000,2000,Undiscloused
2015,Aug,Aug 2015,音乐笔记-银河润泰,Holistic Edu.,200,200,Seed/Angel
2017,Oct,Oct 2017,音乐笔记-银河润泰,Holistic Edu.,2000,2000,A
2016,Nov,Nov 2016,光量子,K12,2040,2040,Seed/Angel
2018,May,May 2018,志诚教育,K12,2035,2035,Private Placement of Share
2016,Mar,Mar 2016,课观教育,Vocational Edu.,20,20,Seed/Angel
2018,Apr,Apr 2018,课观教育,Vocational Edu.,2000,2000,Seed/Angel
2018,Apr,Apr 2018,中安华邦,Holistic Edu.,2008,2008,Private Placement of Share
2016,Dec,Dec 2016,学音悦,Holistic Edu.,2000,2000,Pre-A
2017,Apr,Apr 2017,云种养,Vocational Edu.,2000,2000,Pre-A
2018,Jun,Jun 2018,优贝乐,STEAM,2000,2000,Seed/Angel
2018,Jan,Jan 2018,斯达营地教育,Study Abroad Services,2000,2000,Pre-A
2015,Jun,Jun 2015,学吧课堂,K12,2000,2000,Pre-A
2017,Aug,Aug 2017,叮当派/巴黎信息,Early Childhood Edu.,2000,2000,Pre-A
2015,Jun,Jun 2015,爱预科,Study Abroad Services,2000,2000,Seed/Angel
2017,Oct,Oct 2017,腾跃校长,Vocational Edu.,2000,2000,A+
2014,Jul,Jul 2014,孩子学啥,Early Childhood Edu.,2000,2000,A
2018,May,May 2018,天天学农,Vocational Edu.,2000,2000,Pre-A
2017,Sep,Sep 2017,职行力,Vocational Edu.,2000,2000,A
2014,Nov,Nov 2014,铁皮人科技,Early Childhood Edu.,2000,2000,A
2017,Jul,Jul 2017,贝拉教育,Study Abroad Services,2000,2000,A
2015,Jun,Jun 2015,宝贝全计划,Early Childhood Edu.,2000,2000,B
2015,Jun,Jun 2015,一米智联,K12,2000,2000,A
2016,May,May 2016,保利威视,Edu. SaaS,2000,2000,Pre-A
2016,Sep,Sep 2016,凹凸教育,K12,2000,2000,A
2018,May,May 2018,童王星,STEAM,2000,2000,Strategic Investment
2014,Aug,Aug 2014,优择世通,Study Abroad Services,2000,2000,A
2018,Feb,Feb 2018,金色雨林,Others,2000,2000,A
2018,May,May 2018,摩登大自然,Holistic Edu.,2000,2000,Pre-A
2017,Mar,Mar 2017,东方爱婴,Early Childhood Edu.,2000,2000,Undiscloused
2017,Feb,Feb 2017,掌上大学,Higher Edu.,2000,2000,Undiscloused
2017,Feb,Feb 2017,尚德机构,Vocational Edu.,2000,2000,C
2018,May,May 2018,智豆,Vocational Edu.,2000,2000,Seed/Angel
2018,Mar,Mar 2018,兔比兔教育,Others,2000,2000,Pre-A
2018,Feb,Feb 2018,集思学院,Vocational Edu.,2000,2000,Pre-A
2018,Mar,Mar 2018,瓦力工厂,STEAM,2000,2000,A
2018,Mar,Mar 2018,费米科学,STEAM,2000,2000,Pre-A
2014,Aug,Aug 2014,东方华尔,Vocational Edu.,2000,2000,A
2017,Feb,Feb 2017,腰果公考,Vocational Edu.,2000,2000,Undiscloused
2015,Jun,Jun 2015,尚课无忧,Holistic Edu.,2000,2000,Seed/Angel
2017,Aug,Aug 2017,融聚邻里（融聚教育）,Holistic Edu.,2000,2000,A
2017,Jul,Jul 2017,课窝教育,Language Learning,2000,2000,A
2015,Nov,Nov 2015,爱早教,Early Childhood Edu.,2000,2000,A
2018,Jan,Jan 2018,万域芳菲,Holistic Edu.,2000,2000,Seed/Angel
2017,Mar,Mar 2017,巨石达阵,Holistic Edu.,2000,2000,A
2018,Apr,Apr 2018,微谷中国,Vocational Edu.,2000,2000,A
2015,Nov,Nov 2015,优才学院,Vocational Edu.,2000,2000,A
2018,Jan,Jan 2018,清帆远航,Others,2000,2000,Strategic Investment
2016,Sep,Sep 2016,贝瓦商务咨询,Study Abroad Services,2000,2000,A
2018,Mar,Mar 2018,ACEE思式国际教育,Study Abroad Services,2000,2000,Pre-A
2017,Nov,Nov 2017,编玩编学,STEAM,2000,2000,Pre-A
2015,Oct,Oct 2015,微学-辅导圈,K12,2000,2000,A
2017,Jun,Jun 2017,云朵课堂,Edu. SaaS,2000,2000,A
2015,Jun,Jun 2015,口语100,Language Learning,2000,2000,B
2014,May,May 2014,好学教育,Vocational Edu.,2000,2000,B
2017,Sep,Sep 2017,韦林文化,Language Learning,2000,2000,Pre-A
2018,May,May 2018,牛牛成长,Holistic Edu.,2000,2000,Pre-A
2016,Jun,Jun 2016,KeeKo,Early Childhood Edu.,2000,2000,Pre-A
2017,Jan,Jan 2017,书香源教育,K12,2000,2000,Undiscloused
2017,Aug,Aug 2017,都市鼎点,Early Childhood Edu.,2000,2000,PE
2015,Nov,Nov 2015,欢拓科技,Edu. SaaS,2000,2000,A
2018,May,May 2018,文启优思,K12,2000,2000,A
2018,Mar,Mar 2018,学邦技术,Edu. SaaS,2000,2000,Strategic Investment
2018,May,May 2018,快乐种子,STEAM,2000,2000,Pre-A
2017,Aug,Aug 2017,乐智机器人,STEAM,2000,2000,Pre-A
2018,Mar,Mar 2018,舞邦,Vocational Edu.,2000,2000,A
2017,Apr,Apr 2017,理优1对1,K12,2000,2000,A
2017,Nov,Nov 2017,兰博文体育,Holistic Edu.,2000,2000,Pre-A
2015,Jun,Jun 2015,凌声芯语音,Edu. Informationization,2000,2000,A
2017,Sep,Sep 2017,蓝墨科技,Higher Edu.,2000,2000,A
2016,Mar,Mar 2016,严师书院,K12,2000,2000,A
2015,Jun,Jun 2015,答疑君,K12,2000,2000,Pre-A
2016,Dec,Dec 2016,辅导君,K12,2000,2000,A
2018,May,May 2018,Dr.S赛先生,STEAM,2000,2000,Seed/Angel
2018,Feb,Feb 2018,辅仁淑凡,Others,2000,2000,A
2016,Nov,Nov 2016,蓝铅笔,Holistic Edu.,2000,2000,A
2018,Apr,Apr 2018,码高机器人,STEAM,2000,2000,Pre-A
2015,Jun,Jun 2015,小伴龙,Early Childhood Edu.,2000,2000,B
2016,Dec,Dec 2016,易方科教,STEAM,2000,2000,Pre-A
2017,Apr,Apr 2017,小逗网络,Higher Edu.,2000,2000,Pre-A
2015,Nov,Nov 2015,贝美互动,Early Childhood Edu.,2000,2000,Pre-A
2015,Nov,Nov 2015,小酱油,Higher Edu.,2000,2000,Pre-A
2017,Feb,Feb 2017, CourseIn 有教未来,Language Learning,2000,2000,Pre-A
2017,Jul,Jul 2017,小码教育(小码王) ,STEAM,2000,2000,A
2017,Jun,Jun 2017,咔哒故事,Early Childhood Edu.,2000,2000,Pre-A
2018,Jun,Jun 2018,蓝橡树,Study Abroad Services,2000,2000,Pre-A
2018,Apr,Apr 2018,优才创智,Vocational Edu.,2000,2000,B
2016,Jul,Jul 2016,朗播网,Language Learning,2000,2000,A
2017,Oct,Oct 2017,优儿学堂,Early Childhood Edu.,2000,2000,A
2018,Apr,Apr 2018,小牛教育,Edu. Informationization,2000,2000,A
2017,Dec,Dec 2017,实习僧,Vocational Edu.,2000,2000,A+
2017,Jul,Jul 2017,小象学院(小象科技) ,Vocational Edu.,2000,2000,Pre-A
2018,May,May 2018,世纪海航,Edu. Informationization,2000,2000,A
2018,Mar,Mar 2018,朗恩儿童美语,Language Learning,2000,2000,Seed/Angel
2017,Mar,Mar 2017,梦想之巅,Holistic Edu.,2000,2000,A
2017,Dec,Dec 2017,朗鹰教育,Language Learning,2000,2000,A
2017,Jun,Jun 2017,创而新,Edu. Informationization,2000,2000,A
2018,May,May 2018,超竞教育,Vocational Edu.,2000,2000,Seed/Angel
2017,Dec,Dec 2017,嘉宾传媒,Vocational Edu.,2000,2000,Pre-A
2016,Apr,Apr 2016,朵儿网,Early Childhood Edu.,2000,2000,B
2018,Mar,Mar 2018,汉翔书法,Holistic Edu.,2000,2000,A+
2014,Jul,Jul 2014,“鹦鹉螺”云教室,Edu. Informationization,2000,2000,A
2017,Nov,Nov 2017,好动网球,Holistic Edu.,2000,2000,A
2018,Mar,Mar 2018,深创学院,Vocational Edu.,2000,2000,Strategic Investment
2015,Jun,Jun 2015,铂略财务培训,Vocational Edu.,2000,2000,Seed/Angel
2018,May,May 2018,幻尔科技,STEAM,2000,2000,Seed/Angel
2016,Aug,Aug 2016,Edusoho,Edu. SaaS,2000,2000,A
2016,Aug,Aug 2016,会计乐,Vocational Edu.,2000,2000,A
2015,Feb,Feb 2015,驾考团,Vocational Edu.,2000,2000,A
2017,Dec,Dec 2017,启蒙听听,Early Childhood Edu.,2000,2000,Pre-A
2017,Feb,Feb 2017,视感科技,Holistic Edu.,2000,2000,Undiscloused
2018,Apr,Apr 2018,sinostage 舞邦,Holistic Edu.,2000,2000,A
2017,Dec,Dec 2017,博沃思教育,Holistic Edu.,2000,2000,A
2014,Aug,Aug 2014,GTA国泰安,Edu. Informationization,2000,2000,A
2017,Dec,Dec 2017,傲梦少儿编程,STEAM,2000,2000,A
2018,Feb,Feb 2018,匠驴智能作业狗,K12,2000,2000,Pre-A
2018,Mar,Mar 2018,道远课堂,K12,2000,2000,A
2016,Sep,Sep 2016,大咖说,Vocational Edu.,2000,2000,Pre-A
2018,May,May 2018,积木宝贝,Early Childhood Edu.,2000,2000,Seed/Angel
2018,Mar,Mar 2018,黄埔在线,Holistic Edu.,2000,2000,Strategic Investment
2018,Mar,Mar 2018,积云教育,Vocational Edu.,2000,2000,A
2017,Jan,Jan 2017,白塔岭,Holistic Edu.,2000,2000,A
2017,May,May 2017,番茄田艺术,Holistic Edu.,2000,2000,A
2016,Dec,Dec 2016,青青部落,Study Abroad Services,2000,2000,Pre-A
2017,Sep,Sep 2017,新舟教育,K12,2000,2000,A
2018,Jan,Jan 2018,SKT思珂特教育,Study Abroad Services,2000,2000,Pre-A
2015,Oct,Oct 2015,北京趣乐,Holistic Edu.,2000,2000,A
2018,Apr,Apr 2018,百年育才,K12,2000,2000,Private Placement of Share
2015,Nov,Nov 2015,星天乐园,Early Childhood Edu.,2000,2000,Pre-A
2017,Jul,Jul 2017,秦学教育,K12,2000,2000,A
2017,Jun,Jun 2017,VR小伴马,Early Childhood Edu.,2000,2000,Pre-A
2017,May,May 2017,FaceThink,Paid Knowledge,2000,2000,Pre-A
2017,Dec,Dec 2017,乐恩教育,K12,2000,2000,A
2017,Aug,Aug 2017,乐斯教育,Holistic Edu.,2000,2000,Seed/Angel
2018,Jun,Jun 2018,卖家成长网,Vocational Edu.,2000,2000,A
2016,Jun,Jun 2016,italki,Language Learning,1950,1950,A
2014,Jun,Jun 2014,学习宝,K12,1950,1950,A
2014,Aug,Aug 2014,LTG,Language Learning,1950,1950,A
2016,Jan,Jan 2016,牛班网,Holistic Edu.,1820,1820,A
2017,Jun,Jun 2017,录趣,K12,300,300,Seed/Angel
2018,Jun,Jun 2018,录趣,K12,1500,1500,A
2017,Feb,Feb 2017,千聊,Paid Knowledge,800,800,A+
2017,Oct,Oct 2017,千聊,Paid Knowledge,1000,1000,A+
2017,Mar,Mar 2017,柳橙网,Study Abroad Services,1784,1784,PE
2014,Nov,Nov 2014,托福easy姐,Language Learning,0,500,Seed/Angel
2015,Apr,Apr 2015,托福easy姐,Language Learning,1274,1274,Seed/Angel
2018,Apr,Apr 2018,妙小程,STEAM,1600,1600,Pre-A
2016,Jul,Jul 2016,知子花,Paid Knowledge,1500,1500,Pre-A
2016,Sep,Sep 2016,NOBOOK,K12,1500,1500,A
2016,Mar,Mar 2016,腾跃校长社区,Vocational Edu.,1500,1500,A
2018,May,May 2018,游道篮球,Holistic Edu.,1500,1500,Pre-A
2018,Jan,Jan 2018,德拉学院,STEAM,1500,1500,A
2018,Apr,Apr 2018,云海螺英语,Language Learning,1500,1500,Pre-A
2016,Jul,Jul 2016,Wake瑜伽,Holistic Edu.,1500,1500,Pre-A
2016,Apr,Apr 2016,早道网校,Language Learning,1500,1500,A
2017,May,May 2017,东电微校,Edu. Informationization,1500,1500,A
2017,Dec,Dec 2017,领世培优,K12,1500,1500,A
2017,Sep,Sep 2017,十牛校园,Edu. Informationization,1500,1500,Pre-A
2017,May,May 2017,瘦课网,Edu. Informationization,1500,1500,A
2017,May,May 2017,嗨课,Paid Knowledge,1500,1500,Pre-A
2018,Apr,Apr 2018,医百科技,Vocational Edu.,1500,1500,A
2017,Mar,Mar 2017,小步亲子,Early Childhood Edu.,200,200,Seed/Angel
2018,Mar,Mar 2018,小步亲子,Early Childhood Edu.,1300,1300,Pre-A
2014,Aug,Aug 2014,弹吧钢琴,Holistic Edu.,200,200,Seed/Angel
2015,Nov,Nov 2015,弹吧钢琴,Holistic Edu.,1274,1274,A
2017,Jul,Jul 2017,棕榈大道,Study Abroad Services,1360,1360,A
2016,Sep,Sep 2016,万趣空间,Early Childhood Edu.,1300,1300,Seed/Angel
2014,Jul,Jul 2014,魔方英语,Language Learning,1300,1300,A
2014,Dec,Dec 2014,职业梦,Vocational Edu.,1300,1300,A
2014,Oct,Oct 2014,自化创意,Vocational Edu.,1300,1300,Seed/Angel
2018,Apr,Apr 2018,英语小神童,Language Learning,1300,1300,Pre-A
2018,May,May 2018,作文纸条,K12,1300,1300,Seed/Angel
2015,May,May 2015,知米英语,Language Learning,1274,1274,Pre-A
2015,Aug,Aug 2015,条条,K12,1274,1274,Seed/Angel
2015,Apr,Apr 2015,选课网,Others,1274,1274,A
2017,Dec,Dec 2017,微早教,Early Childhood Edu.,1000,1000,Pre-A
2017,May,May 2017,微早教,Early Childhood Edu.,200,200,Seed/Angel
2015,Oct,Oct 2015,口袋题库,Higher Edu.,1000,1000,A
2015,Sep,Sep 2015,口袋题库,Higher Edu.,200,200,Seed/Angel
2017,Dec,Dec 2017,美悦钢琴,Holistic Edu.,1200,1200,Pre-A
2015,Nov,Nov 2015,手艺网,Holistic Edu.,1000,1000,Pre-A
2015,Sep,Sep 2015,手艺网,Holistic Edu.,200,200,Seed/Angel
2016,Sep,Sep 2016,新节奏,Holistic Edu.,1100,1100,Pre-A
2018,Jun,Jun 2018,五六点教育,Early Childhood Edu.,1100,1100,A
2016,May,May 2016,康康网络,Paid Knowledge,1100,1100,A
2016,Dec,Dec 2016,编玩边学,STEAM,80,80,Seed/Angel
2017,Apr,Apr 2017,编玩边学,STEAM,1000,1000,Seed/Angel
2016,May,May 2016,地心引力新媒体工场,Vocational Edu.,1050,1050,Seed/Angel
2017,Dec,Dec 2017,环球优学,K12,1020,1020,PE
2015,Nov,Nov 2015,callcall教师,K12,1000,1000,Seed/Angel
2017,Dec,Dec 2017,日本村,Language Learning,1000,1000,Pre-A
2018,Jun,Jun 2018,知识圈,Paid Knowledge,1000,1000,Pre-A
2018,Jun,Jun 2018,华罗庚网校,K12,1000,1000,Seed/Angel
2017,Oct,Oct 2017,优读书院,K12,1000,1000,Pre-A
2017,Nov,Nov 2017,游美国际,Study Abroad Services,1000,1000,Pre-A
2014,Jul,Jul 2014,爱语吧,Language Learning,1000,1000,A
2015,Nov,Nov 2015,喵爪,STEAM,1000,1000,Pre-A
2018,Jun,Jun 2018,贝乐虎,Early Childhood Edu.,1000,1000,Pre-A
2017,Jan,Jan 2017,CC英语,Language Learning,1000,1000,A
2017,Dec,Dec 2017,海帆亲子游泳,Early Childhood Edu.,1000,1000,A
2018,Jun,Jun 2018,UPRO,Holistic Edu.,1000,1000,Seed/Angel
2016,Sep,Sep 2016,微视酷科技,Edu. Informationization,1000,1000,Pre-A
2016,Dec,Dec 2016,大嘴外教,Language Learning,1000,1000,Pre-A
2018,Jun,Jun 2018,极客教育,STEAM,1000,1000,Seed/Angel
2018,Jun,Jun 2018,十六进制科技,Edu. Informationization,1000,1000,Pre-A
2017,Nov,Nov 2017,皓石教育,Study Abroad Services,1000,1000,Pre-A
2017,Sep,Sep 2017,云外教,Language Learning,1000,1000,Seed/Angel
2017,Jan,Jan 2017,画吧,Holistic Edu.,1000,1000,Pre-A
2016,Jun,Jun 2016,掌柜攻略,Vocational Edu.,1000,1000,Pre-A
2014,Oct,Oct 2014,佳一教育,K12,1000,1000,A
2017,Jan,Jan 2017,北京市新府学外国语学校,K12,1000,1000,A
2017,Dec,Dec 2017,勺子课堂,Vocational Edu.,1000,1000,Pre-A
2014,Sep,Sep 2014,米科互动,K12,1000,1000,Seed/Angel
2018,Jun,Jun 2018,悉之教育,K12,1000,1000,Seed/Angel
2014,Jul,Jul 2014,麦可网,Vocational Edu.,1000,1000,A
2017,Dec,Dec 2017,3E口语,Language Learning,1000,1000,PE
2016,Aug,Aug 2016,8只小猪,Study Abroad Services,1000,1000,Pre-A
2017,Apr,Apr 2017,小钱班克,Holistic Edu.,1000,1000,Seed/Angel
2018,Jun,Jun 2018,优志愿,K12,1000,1000,A+
2017,May,May 2017,布卡互动,Edu. SaaS,1000,1000,Pre-A
2014,Nov,Nov 2014,陪读学堂,K12,1000,1000,A
2014,Oct,Oct 2014,句酷批改网,Language Learning,1000,1000,A
2015,Oct,Oct 2015,琅琅,Language Learning,1000,1000,A
2014,Jul,Jul 2014,AR学校,Early Childhood Edu.,1000,1000,Pre-A
2014,Aug,Aug 2014,元子/千鱼教育,Early Childhood Edu.,1000,1000,Seed/Angel
2016,Jun,Jun 2016,凯恩备考,Language Learning,1000,1000,Seed/Angel
2017,Jan,Jan 2017,云舒写,Edu. Informationization,1000,1000,A
2017,Dec,Dec 2017,泛艺学苑,Vocational Edu.,1000,1000,Pre-A
2016,Oct,Oct 2016,爱贝睿,Holistic Edu.,1000,1000,Pre-A
2015,Nov,Nov 2015,辅导团,K12,1000,1000,A
2014,Nov,Nov 2014,奇迹曼特,Vocational Edu.,1000,1000,Undiscloused
2017,Nov,Nov 2017,人人讲,Edu. SaaS,1000,1000,Pre-A
2018,Jun,Jun 2018,乐学习,Language Learning,1000,1000,Pre-A
2016,Nov,Nov 2016,学点云,Edu. Informationization,1000,1000,Pre-A
2014,May,May 2014,爱考拉,K12,1000,1000,A
2014,Apr,Apr 2014,每日瑜伽,Holistic Edu.,1000,1000,Seed/Angel
2016,Jun,Jun 2016,百年英才,K12,1000,1000,A
2016,Nov,Nov 2016,成都儿童团,Study Abroad Services,1000,1000,Strategic Investment
2015,Sep,Sep 2015,呼叫老师,K12,1000,1000,Seed/Angel
2017,Mar,Mar 2017,丫哥,Early Childhood Edu.,1000,1000,Pre-A
2017,Jun,Jun 2017,人人助学,Edu. Informationization,1000,1000,Seed/Angel
2017,Jun,Jun 2017,触控未来,Edu. Informationization,1000,1000,Seed/Angel
2016,May,May 2016,最库教育,K12,1000,1000,Pre-A
2016,Jan,Jan 2016,梦芽教育,Early Childhood Edu.,1000,1000,A
2017,Feb,Feb 2017,萝卜屯,STEAM,1000,1000,Seed/Angel
2017,Sep,Sep 2017,创数教育,K12,1000,1000,A
2018,Mar,Mar 2018,爱上学习,Vocational Edu.,1000,1000,Strategic Investment
2016,Apr,Apr 2016,英盛网,Vocational Edu.,1000,1000,A
